"2023-04-14T12:45:39.625Z","SYS","Session logging started.",""
"2023-04-14T12:45:39.626Z","EVSE","Session Started: EVConnected",""
"2023-04-14T12:45:40.629Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:45:40.766Z","EVSE","EIM Authorization received",""
"2023-04-14T12:45:40.767Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-14T12:45:40.769Z","EVSE","AC mode, HLC enabled(ac_enforce_hlc), keeping 5 percent on until a dlink error is signalled.",""
"2023-04-14T12:45:40.819Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T12:45:40.961Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:45:47.906Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-14T12:45:47.917Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-14T12:45:47.947Z","CAR","V2G SessionSetupReq",""
"2023-04-14T12:45:48.029Z","EVSE","V2G SessionSetupRes",""
"2023-04-14T12:45:48.111Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-14T12:45:48.208Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-14T12:45:48.324Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-14T12:45:48.417Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-14T12:45:48.585Z","CAR","V2G AuthorizationReq",""
"2023-04-14T12:45:48.605Z","EVSE","V2G AuthorizationRes",""
"2023-04-14T12:45:48.697Z","CAR","V2G AuthorizationReq",""
"2023-04-14T12:45:48.790Z","EVSE","V2G AuthorizationRes",""
"2023-04-14T12:45:48.968Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-14T12:45:49.041Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-14T12:45:49.132Z","CAR","Event CarRequestedPower",""
"2023-04-14T12:45:49.154Z","EVSE","Event PowerOn",""
"2023-04-14T12:45:49.155Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-04-14T12:45:49.280Z","CAR","V2G PowerDeliveryReq",""
"2023-04-14T12:45:49.301Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:45:49.311Z","EVSE","V2G PowerDeliveryRes",""
"2023-04-14T12:45:57.034Z","CAR","Event CarRequestedStopPower",""
"2023-04-14T12:45:57.044Z","EVSE","Event PowerOff",""
"2023-04-14T12:45:57.052Z","EVSE","Charger state: Charging->Car Paused",""
"2023-04-14T12:45:57.152Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:45:57.709Z","CAR","V2G SessionStopReq",""
"2023-04-14T12:45:57.751Z","EVSE","V2G SessionStopRes",""
"2023-04-14T12:46:01.985Z","CAR","Event CarRequestedPower",""
"2023-04-14T12:46:02.005Z","EVSE","Event PowerOn",""
"2023-04-14T12:46:02.026Z","EVSE","Charger state: Car Paused->Charging",""
"2023-04-14T12:46:02.077Z","EVSE","Charger state: Charging->Wait for energy",""
"2023-04-14T12:46:02.306Z","CAR","Event CarRequestedStopPower",""
"2023-04-14T12:46:02.307Z","EVSE","Event PowerOff",""
"2023-04-14T12:46:02.670Z","CAR","Event CarRequestedPower",""
"2023-04-14T12:46:02.671Z","EVSE","Event PowerOn",""
"2023-04-14T12:46:02.937Z","CAR","Event CarRequestedStopPower",""
"2023-04-14T12:46:02.958Z","EVSE","Event PowerOff",""
"2023-04-14T12:46:03.916Z","EVSE","Charger state: Wait for energy->Charging",""
"2023-04-14T12:46:04.032Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:46:12.001Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-14T12:46:12.011Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-14T12:46:12.032Z","CAR","V2G SessionSetupReq",""
"2023-04-14T12:46:12.106Z","EVSE","V2G SessionSetupRes",""
"2023-04-14T12:46:12.211Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-14T12:46:12.335Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-14T12:46:12.438Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-14T12:46:12.510Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-14T12:46:12.803Z","CAR","V2G AuthorizationReq",""
