"2023-04-18T15:30:59.714Z","EVSE","DC power supply set: 434.20001220703125V/23A, requested was 434.20001220703125V/23A.",""
"2023-04-18T15:30:59.834Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:30:59.836Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:30:59.913Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:30:59.913Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:30:59.913Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:30:59.984Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:00.109Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:00.213Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:00.347Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:00.429Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:00.627Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:00.668Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:00.824Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:00.890Z","EVSE","Change HLC Limits: 10000W/23.03086A, target_voltage 434.2, hack_bpt false",""
"2023-04-18T15:31:00.910Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:31:00.910Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:01.066Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:01.138Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:01.378Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:01.399Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:01.533Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:01.638Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:01.818Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:01.879Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:01.900Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:31:02.006Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:02.088Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:02.254Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:02.350Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:02.507Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:02.579Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:02.702Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:02.808Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:02.891Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:31:02.922Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:03.005Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:03.172Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:03.255Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:03.388Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:03.503Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:03.659Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:03.752Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:03.857Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:03.903Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:31:03.956Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:04.037Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:04.140Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:04.292Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:04.415Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:04.508Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:04.622Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:04.747Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:04.830Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:04.893Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:31:04.980Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:05.045Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:05.178Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:05.282Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:05.398Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:05.491Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:05.614Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:05.718Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:05.864Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:05.895Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:31:05.948Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:06.116Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:06.251Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:06.376Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:06.471Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:06.566Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:06.670Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:06.794Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:06.900Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:06.911Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:31:07.046Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:07.149Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:07.330Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:07.434Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:07.536Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:07.653Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:07.780Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:07.852Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:31:07.894Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:31:07.991Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:31:08.095Z","EVSE","V2G CurrentDemandRes",""
