"2023-03-30T06:29:42.460Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:42.553Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:42.841Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:42.925Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:43.170Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:43.273Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:43.528Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:43.631Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:43.939Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:44.020Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:44.251Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:44.346Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:44.614Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:44.716Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:44.975Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:45.078Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:45.333Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:45.475Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:45.704Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:45.796Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:46.074Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:46.156Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:46.422Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:46.505Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:46.777Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:46.911Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:47.170Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:47.231Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:47.519Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:47.591Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:47.652Z","EVSE","DC power supply set: 357.5V/1A, requested was 357.5V/1A.",""
"2023-03-30T06:29:47.968Z","CAR","V2G PreChargeReq",""
"2023-03-30T06:29:47.971Z","EVSE","V2G PreChargeRes",""
"2023-03-30T06:29:48.028Z","CAR","V2G PreChargeReq",""
"2023-03-30T06:29:48.123Z","EVSE","V2G PreChargeRes",""
"2023-03-30T06:29:48.216Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 357.5, hack_bpt false",""
"2023-03-30T06:29:48.422Z","CAR","V2G PreChargeReq",""
"2023-03-30T06:29:48.474Z","EVSE","V2G PreChargeRes",""
"2023-03-30T06:29:48.782Z","CAR","V2G PreChargeReq",""
"2023-03-30T06:29:48.844Z","EVSE","V2G PreChargeRes",""
"2023-03-30T06:29:49.175Z","CAR","V2G PowerDeliveryReq",""
"2023-03-30T06:29:49.236Z","EVSE","V2G PowerDeliveryRes",""
"2023-03-30T06:29:49.318Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-03-30T06:29:49.341Z","EVSE","DC power supply set: 389.5V/3A, requested was 389.5V/3A.",""
"2023-03-30T06:29:49.614Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T06:29:49.616Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T06:29:49.619Z","EVSE","DC power supply set: 389.29998779296875V/8.187000274658203A, requested was 389.29998779296875V/8.187000274658203A.",""
"2023-03-30T06:29:49.705Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 389.3, hack_bpt false",""
"2023-03-30T06:29:49.729Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T06:29:49.732Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T06:29:49.818Z","EVSE","DC power supply set: 389.5V/13.375A, requested was 389.5V/13.375A.",""
"2023-03-30T06:29:49.914Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T06:29:49.922Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T06:29:50.086Z","EVSE","DC power supply set: 389.5V/18.593000411987305A, requested was 389.5V/18.593000411987305A.",""
"2023-03-30T06:29:50.183Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T06:29:50.185Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T06:29:50.354Z","EVSE","DC power supply set: 389.29998779296875V/23.7810001373291A, requested was 389.29998779296875V/23.7810001373291A.",""
